Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS160925-01,2016/09/25,Aipysurus,apraefrontalis,Exmouth Gulf,,,-21.915883,114.355517,-21.953308,114.310467,-21.990733,114.265417,,,16.90,120,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS170307-02,2017/03/07,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.074183,114.314117,-22.110192,114.288025,-22.146200,114.261933,,,11.90,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS170419-01,2017/04/19,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.198333,114.311550,-22.211217,114.319642,-22.224100,114.327733,,,8.20,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS171013-03,2017/10/13,Aipysurus,apraefrontalis,Pilbara,,,,,-19.688931,118.220874,,,,,51.50,,,,,,,,"W25, RV Investigator, from ALA: Catch composition and measurement records from trawling, RV Investigator voyage IN2017_V05, North West Shelf, Australia (2017)"
trawled_seasnakes.xlsx,Trawl,SS191022-02,2019/10/22,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.148533,114.252617,-22.116308,114.276400,-22.084083,114.300183,,,12.50,120,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200303-02,2020/03/03,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.258533,114.169850,-22.252117,114.202433,-22.245700,114.235017,,,5.50,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200305-03,2020/03/05,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.141250,114.205350,-22.104025,114.238500,-22.066800,114.271650,,,13.70,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200316-02,2020/03/16,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.227200,114.326133,-22.214808,114.319275,-22.202417,114.312417,,,7.70,30,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200416-04,2020/04/16,Aipysurus,apraefrontalis,Exmouth Gulf,,,-21.819767,114.575017,-21.791133,114.584958,-21.762500,114.594900,,,8.70,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200416-05,2020/04/16,Aipysurus,apraefrontalis,Exmouth Gulf,,,-21.847900,114.326433,-21.863017,114.308450,-21.878133,114.290467,,,18.80,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS200910-01,2020/09/10,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.064883,114.320317,-22.002808,114.357808,-21.940733,114.395300,,,10.10,150,,,,,,,
